[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$8.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect$9.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SetUpSelect.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SikuliScript.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SikuliX.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SikuliXforJython.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/SysUtil.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/UpdateFrame$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/UpdateFrame$2.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/UpdateFrame$3.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/UpdateFrame.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/VDictProxy.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/WindowsHotkeyManager$HotkeyData.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/WindowsHotkeyManager$JIntellitypeHandler.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/WindowsHotkeyManager.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/basics/WinUtil.class
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-Basics/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-Basics/pom.xml
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/org.sikuli/SikuliX-Basics/pom.properties
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/LICENSE.txt
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/NOTICE.txt
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/AlreadySelectedException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/BasicParser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/CommandLine.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/CommandLineParser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/GnuParser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/HelpFormatter$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/HelpFormatter$OptionComparator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/HelpFormatter.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/MissingArgumentException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/MissingOptionException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/Option.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/OptionBuilder.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/OptionGroup.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/Options.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/OptionValidator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/ParseException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/Parser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/PatternOptionBuilder.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/PosixParser.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/TypeHandler.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/UnrecognizedOptionException.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/apache/commons/cli/Util.class
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/commons-cli/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/commons-cli/commons-cli/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/commons-cli/commons-cli/pom.xml
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/maven/commons-cli/commons-cli/pom.properties
[debug (30.07.13 18:58:14)] FileManager: adding: com/
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/jintellitype/
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/jintellitype/HotkeyListener.class
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/jintellitype/IntellitypeListener.class
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/jintellitype/JIntellitype$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: com/melloware/jintellitype/JIntellitype$2.class
[debug (30.07.13 18:58:15)] FileManager: adding: com/melloware/jintellitype/JIntellitype.class
[debug (30.07.13 18:58:15)] FileManager: adding: com/melloware/jintellitype/JIntellitypeConstants.class
[debug (30.07.13 18:58:15)] FileManager: adding: com/melloware/jintellitype/JIntellitypeException.class
[debug (30.07.13 18:58:15)] FileManager: adding: com/melloware/jintellitype/Main.class
[debug (30.07.13 18:58:15)] FileManager: adding: META-INF/maven/com.melloware/
[debug (30.07.13 18:58:15)] FileManager: adding: META-INF/maven/com.melloware/jintellitype/
[debug (30.07.13 18:58:15)] FileManager: adding: META-INF/maven/com.melloware/jintellitype/pom.xml
[debug (30.07.13 18:58:15)] FileManager: adding: META-INF/maven/com.melloware/jintellitype/pom.properties
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/HotkeyConflictException.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/HotkeyListener.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/HotkeyListenerDebugEnabled.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/JXGrabKey$1.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/JXGrabKey.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/X11KeysymDefinitions.class
[debug (30.07.13 18:58:15)] FileManager: adding: jxgrabkey/X11MaskDefinitions.class
[debug (30.07.13 18:58:15)] FileManager: adding: org/jdesktop/
[debug (30.07.13 18:58:15)] FileManager: adding: org/jdesktop/layout/
[debug (30.07.13 18:58:15)] FileManager: adding: org/jdesktop/layout/AquaLayoutStyle$ComponentInsets.class
[debug (30.07.13 18:58:15)] FileManager: adding: org/jdesktop/layout/AquaLayoutStyle.class
[debug (30.07.13 18:58:15)] FileManager: adding: org/jdesktop/layout/Baseline.class
